latitude longitude altitude speed bearing time
-22.8974555 -47.06836942 683.1 1.7999999523162842 31.200000762939453 1.31971293E12
-22.89744115 -47.06835743 683.5 1.899999976158142 37.099998474121094 1.319712931E12
-22.897424 -47.06833897 684.0 2.0 41.20000076293945 1.319712932E12
-22.89740352 -47.06831592 685.7 1.899999976158142 43.20000076293945 1.319712933E12
-22.89738964 -47.06830453 685.7 1.600000023841858 38.0 1.319712934E12
-22.89737688 -47.0682922 685.5 1.5 42.099998474121094 1.319712935E12
-22.89735712 -47.06829005 686.0 1.5 26.700000762939453 1.319712936E12
-22.89735924 -47.06828185 685.6 1.2999999523162842 33.900001525878906 1.319712937E12
-22.89734892 -47.06828054 685.5 1.2999999523162842 28.200000762939453 1.319712938E12
-22.89732917 -47.06826829 685.0 1.600000023841858 31.200000762939453 1.319712939E12
-22.89731846 -47.06827711 685.5 1.2999999523162842 16.299999237060547 1.31971294E12
-22.89730545 -47.06827035 685.3 1.399999976158142 18.700000762939453 1.319712941E12
-22.89729019 -47.06823435 686.2 1.7999999523162842 35.900001525878906 1.319712942E12
-22.89728163 -47.06822683 686.4 1.7000000476837158 39.0 1.319712943E12
-22.89726507 -47.06821424 685.8 1.7999999523162842 40.900001525878906 1.319712944E12
-22.89725937 -47.06819909 686.0 1.7000000476837158 47.0 1.319712945E12
-22.89725569 -47.06818696 686.2 1.600000023841858 52.099998474121094 1.319712946E12
-22.89726244 -47.06818421 685.5 1.399999976158142 51.0 1.319712947E12
-22.89727497 -47.06816853 684.0 1.5 46.5 1.319712948E12
-22.89728908 -47.06815014 681.4 1.399999976158142 52.5 1.319712949E12
-22.89728477 -47.06813832 680.2 1.5 45.29999923706055 1.31971295E12
-22.8972719 -47.06813129 680.3 1.5 43.0 1.319712951E12
-22.89726775 -47.06812717 681.2 1.2000000476837158 46.0 1.319712952E12
-22.89725638 -47.06811633 681.0 1.399999976158142 41.099998474121094 1.319712953E12
-22.89724653 -47.06810625 681.9 1.600000023841858 45.5 1.319712954E12
-22.89723903 -47.06809712 681.2 1.2999999523162842 37.0 1.319712955E12
-22.8972332 -47.0680892 680.7 1.2999999523162842 38.400001525878906 1.319712956E12
-22.89721751 -47.06807917 680.9 1.7000000476837158 31.5 1.319712957E12
-22.89720132 -47.06806724 681.0 1.7000000476837158 31.600000381469727 1.319712958E12
-22.89719327 -47.06806656 680.9 1.2999999523162842 22.700000762939453 1.319712959E12
-22.89718176 -47.06806021 681.6 1.2999999523162842 24.700000762939453 1.31971296E12
-22.89716748 -47.06804822 681.6 1.2999999523162842 27.799999237060547 1.319712961E12
-22.89715495 -47.06803535 681.5 1.2000000476837158 36.20000076293945 1.319712962E12
-22.89714364 -47.06802731 681.7 1.2000000476837158 40.70000076293945 1.319712963E12
-22.89713162 -47.06801751 682.4 1.2000000476837158 39.29999923706055 1.319712964E12
-22.897124 -47.06801525 681.9 0.8999999761581421 35.79999923706055 1.319712965E12
-22.89711546 -47.06801157 681.7 0.8999999761581421 32.099998474121094 1.319712966E12
-22.8971011 -47.06800413 682.5 1.2999999523162842 38.79999923706055 1.319712967E12
-22.8970903 -47.0679982 682.5 1.2999999523162842 36.0 1.319712968E12
-22.89707505 -47.06798997 682.7 1.2999999523162842 34.79999923706055 1.319712969E12
-22.89706267 -47.06798535 682.7 1.2000000476837158 32.70000076293945 1.31971297E12
-22.89705403 -47.06797952 682.5 1.100000023841858 38.20000076293945 1.319712971E12
-22.89704077 -47.0679699 682.3 1.2000000476837158 37.20000076293945 1.319712972E12
-22.89703059 -47.06796523 682.5 1.2000000476837158 35.5 1.319712973E12
-22.89702375 -47.06795509 682.6 1.2000000476837158 40.900001525878906 1.319712974E12
-22.89700869 -47.06793213 682.8 1.5 45.599998474121094 1.319712975E12
-22.8970041 -47.06790986 683.1 1.5 58.79999923706055 1.319712976E12
-22.89699967 -47.06790635 682.8 1.2999999523162842 56.099998474121094 1.319712977E12
-22.89698404 -47.06787851 683.0 1.600000023841858 57.0 1.319712978E12
-22.89697089 -47.06787019 682.8 0.0 57.0 1.319712979E12
-22.89696468 -47.06786299 682.8 1.600000023841858 47.0 1.31971298E12
-22.89694506 -47.06784072 683.0 1.7000000476837158 48.29999923706055 1.319712981E12
-22.89692567 -47.06783494 683.3 1.7000000476837158 41.400001525878906 1.319712982E12
-22.89689508 -47.06782573 683.2 1.7999999523162842 38.79999923706055 1.319712983E12
-22.89686903 -47.06780984 683.7 1.899999976158142 38.400001525878906 1.319712984E12
-22.89685279 -47.06780762 683.5 1.7999999523162842 35.20000076293945 1.319712985E12
-22.89683303 -47.06781342 684.1 1.7000000476837158 32.400001525878906 1.319712986E12
-22.89681111 -47.06779834 684.3 1.7999999523162842 33.599998474121094 1.319712987E12
-22.89680338 -47.06778686 684.4 1.7000000476837158 35.29999923706055 1.319712988E12
-22.89679046 -47.06777438 684.3 1.600000023841858 41.70000076293945 1.319712989E12
-22.89679278 -47.06778459 684.5 1.2999999523162842 37.29999923706055 1.31971299E12
-22.8967699 -47.0677735 684.3 1.5 34.599998474121094 1.319712991E12
-22.8967568 -47.06777015 684.3 1.399999976158142 34.29999923706055 1.319712992E12
-22.89673147 -47.06775822 685.7 1.5 37.20000076293945 1.319712993E12
-22.89671161 -47.06774196 685.7 1.5 36.79999923706055 1.319712994E12
-22.89669879 -47.06773082 685.5 1.399999976158142 37.0 1.319712995E12
-22.89668947 -47.06772153 686.8 1.100000023841858 40.099998474121094 1.319712996E12
-22.89668252 -47.06772113 687.9 1.100000023841858 40.5 1.319712997E12
