    latitude   longitude altitude speed bearing accuracy    timestamp
-22,96909233-47,00888372    692,2   1,3   139,5     12,01322431767000
-22,96909068-47,00887394    692,7   1,0   146,4      8,01322431768000
-22,96910925-47,00888000    694,6   1,1   148,5     12,01322431769000
-22,96912312-47,00889422    694,4   1,1   152,6      8,01322431771000
-22,96913289-47,00888670    694,7   1,1   150,3      8,01322431772000
-22,96914210-47,00888783    694,8   1,0   154,4     12,01322431773000
-22,96915076-47,00888334    694,9   1,0   154,4     12,01322431774000
-22,96916020-47,00889316    695,1   1,0   162,8     12,01322431775000
-22,96915089-47,00888080    695,7   0,0   162,8     12,01322431776000
-22,96915951-47,00888532    695,1   0,0   162,8     12,01322431778000
-22,96916556-47,00888092    695,0   1,3   146,1     12,01322431779000
-22,96918201-47,00887412    695,0   1,5   142,5     12,01322431780000
-22,96919387-47,00885977    695,3   1,5   143,2     12,01322431781000
-22,96920688-47,00884799    695,3   1,4   144,3     12,01322431782000
-22,96921876-47,00884721    694,1   1,3   148,0     12,01322431783000
-22,96922947-47,00883999    694,1   1,3   148,0     12,01322431784000
-22,96924364-47,00883450    694,0   1,4   150,8     12,01322431785000
-22,96924406-47,00884901    694,3   0,0   150,8     12,01322431786000
-22,96924507-47,00884730    694,5   0,0   150,8     12,01322431787000
-22,96925139-47,00884585    694,5   0,0   150,8     12,01322431788000
-22,96925306-47,00884806    694,3   0,0   150,8     12,01322431789000
-22,96925405-47,00884629    694,1   0,0   150,8     12,01322431790000
-22,96925677-47,00884447    694,2   0,0   150,8     12,01322431791000
-22,96926344-47,00884062    694,3   1,3   151,9     12,01322431792000
-22,96927694-47,00881838    694,7   1,4   152,9      8,01322431793000
-22,96930210-47,00879925    695,6   1,5   151,9     12,01322431794000
-22,96932118-47,00878879    695,6   1,5   151,5     12,01322431795000
-22,96932565-47,00878654    697,0   1,1   148,9      8,01322431796000
-22,96933729-47,00878079    697,3   1,1   149,0      8,01322431797000
-22,96934983-47,00877500    697,4   1,2   148,8      8,01322431798000
-22,96936251-47,00876287    697,5   1,2   147,5      8,01322431799000
-22,96936993-47,00874316    697,2   1,3   143,5     12,01322431800000
-22,96937003-47,00873877    697,2   1,0   137,2      8,01322431801000
-22,96937717-47,00873162    697,3   1,0   137,2     12,01322431802000
-22,96939490-47,00872155    696,0   0,8   137,5     12,01322431804000
-22,96939219-47,00873091    696,9   0,6   137,5     12,01322431805000
-22,96942730-47,00872428    697,2   1,0   156,2     12,01322431807000
-22,96945508-47,00870475    697,2   1,3   152,2     16,01322431809000
-22,96948718-47,00868730    696,1   1,5   146,9     12,01322431810000
-22,96950977-47,00867883    695,7   1,6   151,6     12,01322431811000
-22,96950936-47,00866697    697,7   1,0   143,4     12,01322431812000
-22,96953003-47,00865269    697,5   1,1   147,2     12,01322431813000
-22,96956362-47,00864043    697,8   1,3   153,6     12,01322431815000
-22,96957277-47,00863816    697,5   1,2   153,0      8,01322431816000
-22,96958136-47,00862448    698,1   1,3   144,6      8,01322431817000
-22,96959993-47,00861256    697,8   1,6   148,0     12,01322431818000
-22,96962127-47,00860609    696,3   1,7   152,0     12,01322431819000
-22,96960629-47,00859126    695,4   1,3   137,1     12,01322431820000
-22,96961498-47,00858255    695,3   1,3   137,1     12,01322431821000
-22,96964251-47,00858761    694,3   1,5   151,9     12,01322431822000
-22,96965540-47,00859202    694,0   1,1   158,0      8,01322431824000
-22,96966228-47,00857974    694,2   1,1   154,9      8,01322431825000
-22,96966787-47,00856101    694,2   1,1   147,8     12,01322431826000
-22,96968769-47,00856568    693,5   1,6   161,6      8,01322431827000
-22,96970591-47,00855925    692,3   2,0   148,1      8,01322431828000
-22,96972550-47,00855012    693,4   2,0   148,4      8,01322431829000
-22,96974104-47,00853979    693,4   2,0   148,4     12,01322431830000
-22,96975211-47,00853154    694,3   1,8   146,2     12,01322431831000
-22,96975139-47,00852615    695,8   1,1   125,2      8,01322431832000
-22,96975741-47,00851693    695,8   1,1   125,2     12,01322431833000
-22,96976523-47,00850764    695,9   1,2   130,2     12,01322431834000
-22,96979310-47,00849401    695,2   2,0   150,3      8,01322431835000
-22,96980486-47,00848611    695,6   1,9   149,7      8,01322431836000
-22,96982028-47,00847637    695,5   1,9   149,7     12,01322431837000
-22,96983307-47,00847557    695,7   1,6   159,2      8,01322431838000
-22,96986082-47,00846232    696,1   1,5   159,3      6,01322431840000
-22,96987418-47,00845686    696,1   1,5   159,3      8,01322431841000
-22,96988393-47,00845371    696,4   1,4   158,6      8,01322431842000
